Fullname,Fullname_GR,Τitle,Party_EN,Party_EN_2,Party_GR,Region,Link_DOI
Varemenos Georgios (Giorgos),Βαρεμένος Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Aitolia and Akarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAREMENOS_GEORGIOS_2146471_2021.pdf
Vartzopoulos Dimitrios (Dimitris),Βαρτζόπουλος Δημήτριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BARTZOPOYLOS_DIMITRIOS_2201451_2021.pdf
"Varoufakis Ioannis (Giannis, Gianis)","Βαρουφάκης Ιωάννης (Γιάννης, Γιάνης)",Member of Greek Parliament President of DiEM25,DiEM25,DiEM25,ΜΕΡΑ25,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAROYFAKIS_IOANNIS_2153913_2021.pdf
Vasiliadis Vasileios (Lakis),Βασιλειάδης Βασίλειος (Λάκης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pella,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BASILEIADIS_BASILEIOS_2074041_2021.pdf
Vasilikos Vasilios,Βασιλικός Βασίλειος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BASILIKOS_BASILEIOS_1941199_2021.pdf
Velopoulos Kyriakos,Βελόπουλος Κυριάκος,Member of Greek Parliament President of Greek Solution,Greek Solution,Greek Solution,Ελληνική Λύση,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BELOPOYLOS_KYRIAK_2284684_2021.pdf
Venizelos Euaggelos,Βενιζέλος Ευάγγελος,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,A'Thessalonikis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BENIZELOS_EYAGGELOS_2002102_2021.pdf
Vernardakis Christoforos,Βερναρδάκης Χριστόφορος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BERNARDAKIS_CHRISTOFOROS_2057474_2021.pdf
Vesiropoulos Apostolos,Βεσυρόπουλος Απόστολος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Imathia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BESYROPOYLOS_APOST_2021633_2021.pdf
Vetta Kallopi,Βέττα Καλλιόπη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BETTA_KALLIOPI_2005504_2021.pdf
Vettas Dimitrios (Dimitris),Βέττας Δημήτρης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Fthiotida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BETTAS_DIMITR_2108625_2021.pdf
Viliardos Vasilios,Βιλιάρδος Βασίλειος,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BILIARDOS_BASILEIOS_2157442_2021.pdf
Vitsas Dimitrios,Βίτσας Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BITSAS_DIMITRIOS_2050853_2021.pdf
Vlasis Konstantinos (Kostas),Βλάσης Κωνσταντίνος (Κώστας),Member of Greek Parliament Minister of State with responsibility for Hellenism Abroad,New Democracy,New Democracy,Νέα Δημοκρατία,Arkadia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BLASIS_KONSTANTINOS_2045205_2021.pdf
Vlachos Georgios,Βλάχος Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BLACHOS_GEORGIOS_2050883_2021.pdf
Voridis Mavroudis (Makis),Βορίδης Μαυρουδής (Μάκης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BORIDIS_MAYR_2216274_2021.pdf
Voultepsi Sofia,Βουλτεψή Σοφία,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BOYLTEPSI_SOFIA_2066953_2021.pdf
Voutsis Nikolaos,Βούτσης Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BOYTSIS_NIKOLAOS_1995925_2021.pdf
Vrantza Panagiota,Βράντζα Παναγιώτα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Karditsa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BRANTZA_PANAGIOTA_1965127_2021.pdf
Vrountsis Ioannis,Βρούτσης Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Cyclades,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BROYTSIS_IOANN_2176583_2021.pdf
Vryzidou Paraskevi,Βρυζίδου Παρασκευή,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BRYZIDOY_PARASKEYI_2195984_2021.pdf
Gavroglou Konstantinos (Kostas),Γαβρόγλου Κωνσταντίνος ( Κώστας),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GABROGLOY_KONST_2014920_2021.pdf
Gakis Dimitrios,Γάκης Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Dodecanese,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GAKIS_DIMITRIOS_2081741_2021.pdf
Gennia Georgia,Γεννιά Γεωργία,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A' Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GENNIA_GEORGIA_2208104_2021.pdf
Gerapetritis Georgios,Γεραπετρίτης Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GERAPETRITIS_GEORGIOS_2252680_2021.pdf
Gerovasili Olga,Γεροβασίλη Όλγα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Arta,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GEROBASILI_OLGA_2079549_2021.pdf
Georgantas Georgios,Γεωργαντάς Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kilkis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GEORGANTAS_GEORGIOS_2025954_2021.pdf
Georgiadis Spyridon - Adonis,Γεωργιάδης Σπυρίδων - Άδωνις,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GEORGIADIS_SPYRIDON_ADONIS_2106955_2021.pdf
Georgopoulou - Saltari Eystathia (Efi),Γεωργοπούλου - Σαλτάρη Ευσταθία (Έφη),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Elis / Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GEORGOPOYLOY_EYSTATHIA_1958500_2021.pdf
Giakoumatos Gerasimos,Γιακουμάτος Γεράσιμος,Member of Greek Parliament,,,,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GIAKOYMATOS_GERASIMOS_2286058_2021.pdf
Giannakis Stergios,Γιαννάκης Στέργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Preveza,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GIANNAKIS_STERGIOS_2061501_2021.pdf
Giannakidis Eustathios (Stathis),Γιαννακίδης Ευστάθιος ( Στάθης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Xanthi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GIANNAKIDIS_EYSTATHIOS_2199052_2021.pdf
Giannakopoulou Konstantina (Nandia),Γιαννακοπούλου Κωνσταντίνα ( Νάντια),Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GIANNAKOPOYLOY_KONSTANTINA_2151318_2021.pdf
Giannakou - Koutsikou Mariori (Marietta),Γιαννάκου - Κουτσίκου Μαριορή (Μαριέττα),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,State Deputy,
Giannoulis Christos,Γιαννούλης Χρήστος,Member of Greek Pariament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GIANNOYLIS_CHRIST_2181578_2021.pdf
Giogiakas Vasileios,Γιόγιακας Βασίλειος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Thesprotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GIOGIAKAS_BASILEIOS_2029485_2021.pdf
Gkara Anastasia (Natasa),Γκαρά Αναστασία (Νατάσα),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Evros,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GKARA_ANASTASIA_2090676_2021.pdf
Gkikas Stefanos,Γκίκας Στέφανος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kerkira / Corfu,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GKIKAS_STEFAN_2139838_2021.pdf
Gkiokas Ioannis,Γκιόκας Ιωάννης,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GKIOKAS_IOANNIS_2249850_2021.pdf
Gkiolas Ioannis,Γκιόλας Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Argolida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GKIOLAS_IOANN_2054097_2021.pdf
Gkioulekas Konstantinos,Γκιουλέκας Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GKIOYLEKAS_KONSTANTINOS_2180699_2021.pdf
Gkokas Christos,Γκόκας Χρήστος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Arta,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GKOKAS_CHRIST_2237162_2021.pdf
Gregos Antonios,Γρέγος Αντώνιος,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GREGOS_ANTONIOS_2114661_2021.pdf
Grigorakos Leonidas,Γρηγοράκος Λεωνίδας,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,Lakonia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GRIGORAKOS_LEONIDAS_2112056_2021.pdf
Grigoriadis Kleon,Γρηγοριάδης Κλέων,Member of Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ25,Β' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/GRIGORIADIS_KLEON_2277947_2021.pdf
Davakis Athanasios,Δαβάκης Αθανάσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Lakonia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DABAKIS_ATHANASIOS_2055024_2021.pdf
Danellis Spyridon,Δανέλλης Σπυρίδων,Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DANELLIS_SPYRIDON_2196175_2021.pdf
Dedes Ioannis,Δέδες Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DEDES_IOANNIS_1952433_2021.pdf
Delis Ioannis,Δελής Ιωάννης,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DELIS_IOANNIS_2010532_2021.pdf
Dendias Nikolaos- Georgios (Nikos),Δένδιας Νικόλαος - Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DENDIAS_NIKOLAOS_GEORGIOS_2063678_2021.pdf
Dermentzopoulos Christos,Δερμεντζόπουλος Χρήστος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Evros,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DERMENTZOPOYLOS_CHRISTOS_1948066_2021.pdf
Dimaras Georgios,Δημαράς Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DIMARAS_GEORGIOS_2138076_2021.pdf
Dimas Christos,Δήμας Χρίστος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Korinthia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DIMAS_CHRISTOS_2310551_2021.pdf
Dimitriadis Dimitrios (Mimis),Δημητριάδης Δημήτριος (Μίμης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/DIMITRIADIS_DIMITRIOS_2281862_2021.pdf
