Fullname,Fullname_GR,Τitle,Party_EN,Party_EN_2,Party_GR,Region,Link_DOI
Pallis Georgios,Πάλλης Γεώργιος,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Lesvos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PALLIS_GEORGIOS_2284486_2021.pdf
Panagiotaros Ilias,Παναγιώταρος Ηλίας,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PANAGIOTAROS_ILIAS_2221018_2021.pdf
Panagiotopoulos Nikolaos,Παναγιωτόπουλος Νικόλαος,Minister of Defence,New Democracy,New Democracy,Νέα Δημοκρατία,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PANAGIOTOPOYLOS_NIKOLAOS_2185852_2021.pdf
Panagiotopoulos Panagiotis (Panos),Παναγιωτόπουλος Παναγιώτης (Πάνος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PANAGIOTOPOYLOS_PANAGIOTIS_2268150_2021.pdf
Panagoulis Eustathios (Stathis),Παναγούλης Ευστάθιος (Στάθης),Member of Greek Parliament,Independent,Independent,Ανεξάρτητοι,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PANAGOYLIS_EYSTATHIOS_2141942_2021.pdf
Panas Apostolos,Πάνας Απόστολος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Chalkidiki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PANAS_APOSTOLOS_2057387_2021.pdf
Papadimitriou Charalampos (Babis),Παπαδημητρίου  Χαράλαμπος (Μπάμπης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPADIMITRIOY_CHARALAMPOS_2215125_2021.pdf
Papadopoulos Michael,Παπαδόπουλος Μιχαήλ,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPADOPOYLOS_MICHAIL_2066501_2021.pdf
Papadopoulos Nikolaos,Παπαδόπουλος Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPADOPOYLOS_NIKOLAOS_2066733_2021.pdf
Papadopoulos Christoforos,Παπαδόπουλος Χριστόφορος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPADOPOYLOS_CHRISTOFOROS_2051913_2021.pdf
Papailiou Georgios,Παπαηλίου Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Arkadia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPAILIOY_GEORGIOS_2194502_2021.pdf
Papatheodorou Theodoros,Παπαθεοδώρου Θεόδωρος,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατκή Συμπαράταξη,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPATHEODOROY_THEODOR_2138067_2021.pdf
Papakosta Aikaterini,Παπακώστα Αικατερίνη,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Trikala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPAKOSTA_AIKATERINI_2224466_2021.pdf
Papanastasis Nikolaos,Παπαναστάσης Νικόλαος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Aetolia-Acarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPANASTASIS_NIKOLAOS_2139712_2021.pdf
Papanatsiou Aikaterini,Παπανάτσιου Αικατερίνη,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Magnisia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPANATSIOY_AIKAT_2082630_2021.pdf
Papandreou Georgios,Παπανδρέου Γεώργιος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPANDREOY_GEORGIOS_2185656_2021.pdf
Papariga Alexandra (Aleka),Παπαρήγα Αλεξάνδρα (Αλέκα),Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPARIGA_ALEXANDRA_1978115_2021.pdf
Papafilippou Georgios,Παπαφιλίππου Γεώργιος,Member of Greek Parliament,SyRIZA,SyRIZA,ΣΥΡΙΖΑ,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPAFILIPPOY_GEORGIOS_2134212_2021.pdf
Papachristopoulos Athanasios,Παπαχριστόπουλος Αθανάσιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPACHRISTOPOYLOS_ATHANASIOS_1961028_2021.pdf
Pappas Nikolaos,Παππάς Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPPAS_NIKOLAOS_1986381_2021.pdf
Pappas Ioannis,Παππάς Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Dodecanese,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAPPAS_IOANNIS_2167032_2021.pdf
Paraskevopoulos Nikolaos,Παρασκευόπουλος Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PARASKEYOPOYLOS_NIKOLAOS_2117585_2021.pdf
Parastatidis Theodoros,Παραστατίδης Θεόδωρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kilkis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PARASTATIDIS_THEODOROS_1966915_2021.pdf
Paschalidis Ioannis,Πασχαλίδης Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kavala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PASCHALIDIS_IOANNIS_2103055_2021.pdf
Patsis Andreas,Πάτσης Ανδρέας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Grevena,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PATSIS_ANDREAS_2039156_2021.pdf
Pavlidis Konstantinos,Παυλίδης Κωνσταντίνος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kerkira/Corfu,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAYLIDIS_KONSTANTINOS_2210845_2021.pdf
Pafilis Athanasios,Παφίλης Αθανάσιος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PAFILIS_ATHANASIOS_2143717_2021.pdf
Perka Theopisti (Peti),Πέρκα Θεοπίστη (Πέτη),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Florina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PERKA_THEOPISTI_2128902_2021.pdf
Pikrammenos Panagiotis,Πικραμμένος  Παναγιώτης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PIKRAMMENOS_PANAGIOTIS_2156529_2021.pdf
Pipili Foteini,Πιπιλή Φωτεινή,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PIPILI_FOTEINI_2144147_2021.pdf
Plakiotakis Ioannis,Πλακιωτάκης Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Lasithi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PLAKIOTAKIS_IOANNIS_2156746_2021.pdf
Pleuris Athanasios,Πλεύρης Αθανάσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PLEYRIS_ATHANASIOS_2011823_2021.pdf
Pneumatikos Spyridon,Πνευματικός Σπυρίδων,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PNEYMATIKOS_SPYRIDON_2048391_2021.pdf
Polakis Pavlos,Πολάκης Παύλος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Chania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/POLAKIS_PAYLOS_2104224_2021.pdf
Poulas Andreas,Πουλάς Ανδρέας,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Argolida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/POYLAS_ANDREAS_2076896_2021.pdf
Poulou Panagiou (Giota),Πούλου Παναγιού (Γιώτα),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Boeotia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/POYLOY_PANAGIOY_2077202_2021.pdf
Pratsolis Anastasios (Tasos),Πρατσόλης Αναστάσιος (Τάσος),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PRATSOLIS_ANASTASIOS_2124373_2021.pdf
Ragousis Ioannis,Ραγκούσης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/RAGKOYSIS_IOANNIS_2009714_2021.pdf
Rapti Eleni (Elena),Ράπτη Ελένη (Έλενα),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Thessalonikis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/RAPTI_ELENI_2103008_2021.pdf
Rapti Zoi,Ράπτη Ζωή,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/RAPTI_ZOI_2204976_2021.pdf
Rizoulis Andreas,Ριζούλης Ανδρέας,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/RIZOYLIS_ANDREAS_2211194_2021.pdf
Rousopoulos Theodoros,Ρουσόπουλος Θεόδωρος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ROYSOPOYLOS_THEODOROS_2182918_2021.pdf
Sakorafa Sofia,Σακοράφα Σοφία,Member of Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ25,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SAKORAFA_SOFIA_2041361_2021.pdf
Salmas Marios,Σαλμάς Μάριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Aetolia-Acarnanea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SALMAS_MARIOS_1989671_2021.pdf
Samaras Antonios,Σαμαράς Αντώνιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SAMARAS_ANTONIOS_1994436_2021.pdf
Sarakiotis Ioannis,Σαρακιώτης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Phtiotis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SARAKIOTIS_IOANNIS_2106412_2021.pdf
Sachinidis Ioannis,Σαχινίδης Ιωάννης,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Pella,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SACHINIDIS_IOANNIS_2133043_2021.pdf
Sevastakis Dimitrios,Σεβαστάκης Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Samos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SEBASTAKIS_DIMITRIOS_2141921_2021.pdf
Seltsas Konstantinos,Σέλτσας Κωνσταντίνος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Florina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SELTSAS_KONSTANTINOS_2135061_2021.pdf
Senetakis Maximos,Σενετάκης Μάξιμος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SENETAKIS_MAXIMOS_2280044_2021.pdf
Sifakis Ioannis,Σηφάκης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Pella,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SIFAKIS_IOANN_2216925_2021.pdf
Simopoulos Eustratios (Stratos),Σιμόπουλος Ευστράτιος (Στράτος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SIMOPOYLOS_EYSTRATIOS_2047365_2021.pdf
Simorelis Christos,Σιμορέλης Χρήστος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Trikala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SIMORELIS_CHRISTOS_2229349_2021.pdf
Sioropoulou Chrysoula,Σιωροπούλου Χρυσούλα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Karditsa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SIOROPOYLOY_CHRYSOYLA_2219947_2021.pdf
Skandalidis Konstantinos,Σκανδαλίδης Κωνσταντίνος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SKANDALIDIS_KONSTANTINOS_2020399_2021.pdf
Skondra Asimina,Σκόνδρα Ασημίνα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Karditsa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SKONDRA_ASIMINA_2201987_2021.pdf
Skourletis Panagiotis (Panos),Σκουρλέτης Παναγιώτης (Πάνος),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SKOYRLETIS_PANAGIOTIS_2070674_2021.pdf
Skouroliakos Panagiotis (Panos),Σκουρολιάκος Παναγιώτης (Πάνος),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SKOYROLIAKOS_PANAGIOTIS_1996601_2021.pdf
Skoufa Elisavet (Beti),Σκούφα Ελισσάβετ (Μπέτυ),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Pieria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SKOYFA_ELISSABET_2064450_2021.pdf
Skrekas Konstantinos,Σκρέκας Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Trikala,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SKREKAS_KONSTANTINOS_2052045_2021.pdf
Spanakis Vasileios - Petros,Σπανάκης Βασίλειος - Πέτρος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SPANAKIS_BASILEIOS_PETROS_2116893_2021.pdf
Spartinos Konstantinos,Σπαρτίνος Κωνσταντίνος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SPARTINOS_KONSTANTINOS_2006776_2021.pdf
Spirtzis Christos,Σπίρτζης Χρήστος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SPIRTZIS_CHRIST_2034300_2021.pdf
Stathakis Georgios,Σταθάκης Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Chania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STATHAKIS_GEORGIOS_2224461_2021.pdf
Staikouras Christos,Σταϊκούρας Χρήστος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Fthiotida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STAIKOYRAS_CHRISTOS_2105384_2021.pdf
Stamataki Eleni,Σταματάκη Ελένη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STAMATAKI_ELENI_2065698_2021.pdf
Stamenitis Dionysios,Σταμενίτης Διονύσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pella,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STAMENITIS_DIONYSIOS_2280479_2021.pdf
Stampouli Afroditi,Σταμπουλή Αφροδίτη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STAMPOYLI_AFRODITI_2155229_2021.pdf
Stergiou Konstantinos,Στεργίου Κωνσταντίνος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Magnesia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STERGIOY_KONSTANTINOS_1999244_2021.pdf
Stefanadis Christodoulos,Στεφανάδης Χριστόδουλος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Samos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STEFANADIS_CHRIST_2142739_2021.pdf
Stefos Ioannis,Στέφος Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STEFOS_IOANNIS_2143556_2021.pdf
Stogiannidis Grigorios,Στογιαννίδης Γρηγόριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Xanthi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STOGIANNIDIS_GRIGORIOS_2194285_2021.pdf
Stoltidis Leonidas,Στολτίδης Λεωνίδας,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,B'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STOLTIDIS_LEONIDAS_2062267_2021.pdf
Stilios Georgios,Στύλιος Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Arta,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STYLIOS_GEORGIOS_2139208_2021.pdf
Stylianidis Evrypides,Στυλιανίδης Ευρυπίδης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Rhodopi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/STYLIANIDIS_EYRIPIDIS_2113013_2021.pdf
Syntychakis Emmanouil,Συντυχάκης Εμμανουήλ,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SYNTYCHAKIS_EMMANOYIL_2249853_2021.pdf
Syrigos Antonios,Συρίγος Αντώνιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Cyclades,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SYRIGOS_ANTONIOS_2051633_2021.pdf
Syrigos Aggelos (Euaggelos),Συρίγος Άγγελος (Ευάγγελος),Member of Greek parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Α'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SYRIGOS_EYAGGEL_2221520_2021.pdf
Syrmalenios Nikolaos,Συρμαλένιος Νικόλαος,Member of Greek parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Cyclades,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/SYRMALENIOS_NIKOLAOS_2136377_2021.pdf
Tagaras Nikolaos,Ταγαράς Νικόλαος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Korinthia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TAGARAS_NIKOLAOS_2062919_2021.pdf
Tarantilis Christos,Ταραντίλης Χρήστος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TARANTILIS_CHRISTOS_2029166_2021.pdf
Tasoulas Konstantinos,Τασούλας Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TASOYLAS_KONSTANTINOS_2154944_2021.pdf
Tassos Stavros,Τάσσος Σταύρος,Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Lesvos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TASSOS_STAYROS_2062544_2021.pdf
Teligioridou Olympia,Τελιγιορίδου Ολυμπία,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kastoria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TELIGIORIDOY_OLYMPIA_2006230_2021.pdf
Tzavaras Konstantinos,Τζαβαράς Κωνσταντίνος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ilia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZABARAS_KONST_2030646_2021.pdf
Tzakri Theodora,Τζάκρη Θεοδώρα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Pella,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZAKRI_THEODORA_2078843_2021.pdf
Tzamaklis Charilaos,Τζαμακλής Χαρίλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Pieria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZAMAKLIS_CHARILAOS_2075555_2021.pdf
Tzanakopoulos Dimitrios,Τζανακόπουλος Δημήτριος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZANAKOPOYLOS_DIMITRIOS_2147364_2021.pdf
Tzelepis Michael,Τζελέπης Μιχαήλ,Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZELEPIS_MICHAIL_2107098_2021.pdf
Tzikalagias Zisis,Τζηκαλάγιας Ζήσης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kastoria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZIKALAGIAS_ZISIS_2039685_2021.pdf
Tzoufi Meropi,Τζούφη Μερόπη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TZOYFI_MEROPI_2011396_2021.pdf
Toskas Nikolaos,Τόσκας Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TOSKAS_NIKOL_2219479_2021.pdf
Tragakis Ioannis,Τραγάκης Ιωάννης,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,B'Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TRAGAKIS_IOANNIS_2111501_2021.pdf
Triantafillidis Alexandros (Alekos),Τριανταφυλλίδης Αλέξανδρος (Αλέκος),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TRIANTAFYLLIDIS_ALEXANDROS_1944346_2021.pdf
Triantafillou Maria,Τριανταφυλλου Μαρία,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Aetolia-Acarnanea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TRIANTAFYLLOY_MARIA_2144494_2021.pdf
Tzavdaridis Lazaros,Τζαβδαρίδης Λάζαρος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Imathia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSABDARIDIS_LAZAROS_2102773_2021.pdf
Tsakalotos Euclides,Τσακαλώτος Ευκλείδης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSAKALOTOS_EYKLEIDIS_2014417_2021.pdf
Tsiaras Konstantinos,Τσιάρας Κωνσταντίνος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Karditsa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSIARAS_KONSTANTINOS_2167006_2021.pdf
Tsigkris Aggelos,Τσιγκρής Άγγελος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSIGKRIS_AGGELOS_1966918_2021.pdf
Tsiliggiris Spyridon (Spyros),Τσιλιγγίρης Σπυρίδων (Σπύρος),Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Xanthi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSILIGGIRIS_SPYRID_2019616_2021.pdf
